granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
OGLE-2014-BLG-0676L b,4077,3.68,,4.53,,Microlensing,2670.0,
OGLE-2014-BLG-1186L b,6807,0.142,,,,Microlensing,1700.0,
OGLE-2014-BLG-1722L b,6717,0.174,,1.9,,Microlensing,6400.0,
OGLE-2014-BLG-1722L c,6718,0.2633,,2.5,,Microlensing,6400.0,
OGLE-2014-BLG-1760L b,2599,0.573,,1.75,,Microlensing,6060.0,
OGLE-2015-BLG-0051L b,4007,0.72,,0.73,G,Microlensing,8200.0,
OGLE-2015-BLG-0954L b,2589,4.4,,1.2,,Microlensing,600.0,
OGLE-2015-BLG-0966L b,2436,0.066,,2.4,M,Microlensing,2900.0,
OGLE-2015-BLG-1649 b,7166,2.54,,2.07,,Microlensing,4230.0,
OGLE-2015-BLG-1670L b,6870,0.0563,,3.2,,Microlensing,6700.0,
OGLE-2015-BLG-1771L b,7206,0.433,,0.85,,Microlensing,7070.0,
OGLE-2016-BLG-0263L b,7360,4.1,,6.5,,Microlensing,6500.0,
OGLE-2016-BLG-0613L (AB) b,6635,4.18,,6.4,,Microlensing,3410.0,
OGLE-2016-BLG-1067L b,6706,0.43,,1.7,M,Microlensing,3730.0,
OGLE-2016-BLG-1093L b,8060,0.71,,2.13,,Microlensing,8120.0,
OGLE-2016-BLG-1190L b,6659,13.38,1223.6,2.17,,Microlensing,6770.0,
OGLE-2016-BLG-1195L b,6555,0.0045,,1.16,,Microlensing,3910.0,
OGLE-2016-BLG-1227 b,7213,0.79,,3.4,,Microlensing,1210.0,
OGLE-2016-BLG-1266L b,6744,11.9,,0.42,,Microlensing,3050.0,
OGLE-2016-BLG-1469L b,6611,13.6,,0.33,,Microlensing,4500.0,
OGLE-2016-BLG-1928,7508,0.0009,,,,Microlensing,,
OGLE-2016-BLG-596L b,4006,12.2,,,,Microlensing,,
OGLE-2017-BLG-0173L b,6630,9.08,,3.75,,Microlensing,4700.0,
OGLE-2017-BLG-0406 b,7387,0.41,,3.5,,Microlensing,5200.0,
OGLE-2017-BLG-0482 b,7364,9.0,,1.8,,Microlensing,5800.0,
OGLE-2017-BLG-0560,6900,1.9,,,,Microlensing,,
OGLE-2017-BLG-0604 b,7483,0.51,,4.06,,Microlensing,3950.0,
OGLE-2017-BLG-1049 b,7545,5.53,,3.92,,Microlensing,5670.0,
OGLE-2017-BLG-1099 b,7975,3.02,,2.73,,Microlensing,7250.0,
OGLE-2017-BLG-1140L b,6712,1.63,,1.02,M3,Microlensing,7350.0,
OGLE-2017-BLG-1375 b,7484,10.33,,2.97,,Microlensing,3790.0,
OGLE-2017-BLG-1434L b,6698,0.014,,1.18,M,Microlensing,860.0,
OGLE-2017-BLG-1522L b,6713,0.75,,0.59,,Microlensing,990.0,
OGLE-2018-BLG-0298 b,8243,0.14,,2.86,,Microlensing,6540.0,
OGLE-2018-BLG-0383 b,8028,0.0201,,1.8,,Microlensing,7700.0,
OGLE-2018-BLG-0506 b,7898,0.0513,,3.0,,Microlensing,5600.0,
OGLE-2018-BLG-0532 b,7119,0.019636,,1.083,,Microlensing,790.0,
OGLE-2018-BLG-0567L b,7804,0.32,,2.72,,Microlensing,7070.0,
OGLE-2018-BLG-0596 b,7118,0.0267,,2.15,,Microlensing,5900.0,
OGLE-2018-BLG-0677L b,7309,0.01246,,0.63,,Microlensing,7700.0,
OGLE-2018-BLG-0740L b,7106,4.5,3100.0,4.2,,Microlensing,3200.0,
OGLE-2018-BLG-0799 b,7517,0.41,,1.38,,Microlensing,6290.0,
OGLE-2018-BLG-0932/KMT-2018-BLG-2087/MOA-2018-BLG-163 b,8162,0.89,,1.75,,Microlensing,6620.0,
OGLE-2018-BLG-0962,7805,1.37,,3.57,,Microlensing,6470.0,
OGLE-2018-BLG-0977 b,7901,0.0201,,2.0,,Microlensing,6500.0,
OGLE-2018-BLG-1119 b,8241,0.91,,4.06,,Microlensing,5760.0,
OGLE-2018-BLG-1126/KMT-2018-BLG-2064 b,8163,0.056,,3.23,,Microlensing,5700.0,
OGLE-2018-BLG-1185 b,7839,0.0264,,1.537,,Microlensing,7400.0,
OGLE-2018-BLG-1212/MOA-2018-BLG-365/KMT-2018-BLG-2299,8164,0.2,,1.68,,Microlensing,1550.0,
OGLE-2018-BLG-1269L b,7429,0.69,,4.61,,Microlensing,2560.0,
OGLE-2018-BLG-1367/KMT62018-BLG-0914,8165,0.95,,1.21,,Microlensing,5370.0,
OGLE-2018-BLG-1428L b,7811,0.77,,3.3,,Microlensing,6220.0,
OGLE-2018-BLG-1544 b,8166,11.2,,6.21,,Microlensing,6300.0,
OGLE-2018-BLG-1647/KMT-2018-BLG-2060,8167,0.97,,1.36,,Microlensing,,
OGLE-2018-BLG-1700L b,7185,4.4,,2.8,,Microlensing,7600.0,
OGLE-2018BLG-1011L b,7154,1.8,,1.8,,Microlensing,7100.0,
OGLE-2018BLG-1011L c,7155,2.8,,0.8,,Microlensing,7100.0,
OGLE-2019-BLG-0299 b,7976,6.22,,2.8,,Microlensing,7040.0,
OGLE-2019-BLG-0362 b,8366,3.3,,2.7,,Microlensing,5830.0,
OGLE-2019-BLG-0468L b,8005,3.43,,3.29,,Microlensing,4400.0,
OGLE-2019-BLG-0468L c,8011,10.22,,2.77,,Microlensing,4400.0,
OGLE-2019-BLG-0551,7445,0.0242,,,,Microlensing,,
OGLE-2019-BLG-0954L b,7845,14.2,,2.65,,Microlensing,3630.0,
OGLE-2019-BLG-0960 b,7558,0.00708,,1.6,,Microlensing,880.0,
OGLE-2019-BLG-1053L b,7828,0.0078,,3.4,,Microlensing,6800.0,
OGLE-2019-BLG-1470LAB b,8170,2.2,,3.1,,Microlensing,6100.0,
OGLE-2019-BLG-1492 b,7900,0.1167,,2.7,,Microlensing,5600.0,
OGLE-TR-10 b,248,0.68,3.10129,0.04162,G or K,Primary Transit,1248.0,1.72
OGLE-TR-111 b,251,0.54,4.01451,0.047,G or K,Primary Transit,1114.0,1.077
OGLE-TR-113 b,123,1.24,1.4324772,0.0229,K,Primary Transit,592.0,1.11
OGLE-TR-132 b,124,1.17,1.689868,0.0306,F,Primary Transit,2330.0,1.23
OGLE-TR-182 b,431,1.06,3.9791,0.051,,Primary Transit,2930.0,1.47
OGLE-TR-211 b,445,0.75,3.67724,0.051,,Primary Transit,1830.0,1.26
OGLE-TR-56 b,1,1.3,1.211909,0.0225,G,Primary Transit,2252.0,1.2
OGLE2-TR-L9 b,437,4.34,2.4855335,0.0404,F3,Primary Transit,1537.0,1.614
Oph 98 b,7873,7.8,8035500.0,200.0,M9-L1,Imaging,137.0,1.86
PDS 70 b,6770,7.0,45108.0,22.7,K7,Imaging,113.43,
PDS 70 c,7123,4.4,69945.0,30.2,K7,Imaging,113.43,
POTS-1 b,1341,2.31,3.1606296,0.03734,K5,Primary Transit,,0.941
PSR 1257 12 b,275,7e-05,25.262,0.19,PSR,Pulsar,710.0,
PSR B1620-26 (AB) b,235,2.5,36525.0,23.0,PSR,Pulsar,3800.0,
PSR 1257 12 c,277,0.013,66.5419,0.36,PSR,Pulsar,710.0,
PSR 1257 12 d,236,0.012,98.2114,0.46,PSR,Pulsar,710.0,
PSR 1719-14 b,884,1.0,0.090706293,0.0044,PSR,Pulsar,1200.0,0.4
PSR J1311-3430 b,7914,12.0,0.065115,,,Radial Velocity,,
PSR J1807-2459 A b,2458,9.4,0.07,,PSR,Pulsar,2790.0,
PSR J2241-5236 b,2457,12.0,0.1456722395,,PSR,Pulsar,500.0,
Proplyd 133-353,4078,13.0,,,,Imaging,388.0,
Qatar-1 b,785,1.294,1.42002504,0.02332,K,Primary Transit,187.0,1.143
Qatar-10 b,7062,0.736,1.645321,0.0286,F7V,Primary Transit,539.0,1.534
Qatar-2 b,866,2.494,1.33711647,0.02153,K,Primary Transit,182.32,1.254
Qatar-3 b,3968,4.31,2.5079204,0.03783,G0V,Primary Transit,,1.096
Qatar-4 b,3969,5.85,1.8053949,0.02861,K,Primary Transit,,1.552
Qatar-5 b,3970,4.32,2.8792319,0.04127,G2V,Primary Transit,,1.107
Qatar-6 A b,6684,0.668,3.506189,0.0423,K2V,Primary Transit,101.0,1.062
Qatar-7 b,6936,1.88,2.032046,0.0352,F4V,Primary Transit,725.0,1.7
Qatar-8 b,7060,0.371,3.71495,0.0474,GOV,Primary Transit,276.7,1.285
Qatar-9 b,7061,1.19,1.540731,0.0234,K5V,Primary Transit,211.4,1.009
ROXs 42B (AB) b,1419,9.0,,140.0,M0 D,Imaging,135.0,2.5
Ross 458 (AB) c,845,11.3,,1168.0,M0.5,Imaging,11.7,1.07
S Ori 68,7027,5.0,,1700.0,M5V,Imaging,362.33,
SDSS J1110+0116,6580,11.0,,,T5.5,Imaging,19.19,1.18
SIMP0136+0933,6579,12.7,,,T2.5,Imaging,6.0,
SR 12 (AB) c,831,13.0,,1083.0,K4-M2.5,Imaging,125.0,
SWEEPS-04 b,351,3.8,4.2,0.055,,Primary Transit,8500.0,0.81
SWEEPS-11 b,358,9.7,1.796,0.03,,Primary Transit,8500.0,1.13
TCP J050742+244755 b,6711,0.06,,0.775,,Microlensing,429.0,
TIC 156514476.01,8435,0.02973,14.42177,,,Primary Transit,,
TIC 172900988 (AB) b,7859,2.84,188.763,0.867,,Pulsar,246.263,0.9876
TIC 237913194 b,7514,1.942,15.168865,0.1207,,Primary Transit,309.6,1.117
TOI-1062 b,7851,0.032,4.11412,0.052,,Primary Transit,82.2,0.20198
TOI-1064 b,8056,0.0425,6.443868,0.06152,,Primary Transit,68.81,0.2308
TOI-1064 c,8057,0.0079,12.226574,0.09429,,Primary Transit,68.81,0.23651
TOI-1075 b,8109,0.013,0.6047328,0.0118,,Primary Transit,61.5,0.1534
TOI-1107 b,8235,3.35,4.0782387,0.0561,,Primary Transit,283.61,1.3
TOI-1130 c,7326,0.974,8.350381,0.07098,K,Primary Transit,58.26,1.5
TOI-1136 b,8455,0.00947,4.17278,,,Primary Transit,84.536,0.17
TOI-1136 c,8456,0.019,6.25725,,,Primary Transit,84.536,0.25685
TOI-1136 d,8457,0.025,12.51937,,,Primary Transit,84.536,0.4128
TOI-1136 e,8458,0.017,18.7922,,,Primary Transit,84.536,0.23544
TOI-1136 f,8459,0.0261,26.3162,,,Primary Transit,84.536,0.3462
TOI-1136 g,8460,0.0151,39.5387,,,Primary Transit,84.536,0.2257
TOI-1181 b,8193,1.18,2.103195,,F9IV,Primary Transit,,1.3
TOI-1201 b,7979,0.01976,2.4919863,0.0287,M2V,Primary Transit,37.636,0.21545
TOI-122 b,7532,0.0277,5.07803,0.0392,,Primary Transit,62.23,0.2427
TOI-1221 b,8421,3.5,91.68278,0.39,,Primary Transit,,0.2596
TOI-1231 b,7858,0.0485,24.245586,0.1288,M3V,Primary Transit,27.4932,0.3256
TOI-1235 b,7382,0.0186,3.444717,0.03826,M0.5V,Primary Transit,39.68,0.15113
TOI-1238 b,8013,0.01183,0.764597,0.0139,,Primary Transit,70.6424,0.1079
TOI-1238 c,8014,0.02618,3.294736,0.037,,Primary Transit,70.6424,0.1882
TOI-1246 b,8180,0.0255,4.30744,0.049,,Primary Transit,170.7,0.2685
TOI-1246 c,8181,0.0277,5.904144,0.061,,Primary Transit,170.7,0.2239
TOI-1246 d,8182,0.0167,18.6559,0.131,,Primary Transit,170.7,0.3131
TOI-1246 e,8183,0.0466,37.9216,0.211,,Primary Transit,170.7,0.3372
TOI-125 b,7273,0.0299,4.65382,0.05186,K0V,Primary Transit,111.4,0.2432
TOI-125 c,7274,0.02086,9.15059,0.0814,K0V,Primary Transit,111.4,0.24614
TOI-125 d,7275,0.0428,19.98,0.137,K0V,Primary Transit,111.4,0.2614
TOI-1259A b,7555,0.441,3.47798,0.0407,,Primary Transit,118.11,1.022
TOI-1260 b,7841,0.02709,3.12748,0.0366,K6V,Primary Transit,73.41,0.20832
TOI-1260 c,7842,0.03725,7.49325,0.0656,K6V,Primary Transit,73.41,0.2516
TOI-1266 b,7421,0.05,10.894843,0.0736,M2,Primary Transit,36.05,0.2114
TOI-1266 c,7422,0.0201,18.80151,0.1058,M2,Primary Transit,36.05,0.1392
TOI-1268 b,8112,0.29,8.1577094,0.072,K1-K2,Primary Transit,110.0,0.82
TOI-1272 b,8248,0.0774,3.31599,0.0412,,Primary Transit,,0.3693
TOI-1298 b,7934,0.356,4.537164,0.059,,Primary Transit,319.0,0.841
TOI-132 b,7205,0.07183,2.1097008,0.026,G8V,Primary Transit,164.47,0.306
TOI-1333 b,7552,2.37,4.720219,0.0626,,Primary Transit,200.4,1.396
TOI-1338 b,7260,0.095,95.141,0.4491,,Primary Transit,399.0,0.5986
TOI-1411 b,8102,0.0079,1.4520358,0.023,K6V,Primary Transit,32.5,0.1213
TOI-1422 b,8250,0.028,12.9972,0.108,G2V,Primary Transit,154.56,0.3533
TOI-1430 b,8336,0.022,7.434162,0.0705,,Primary Transit,,0.187
TOI-1431 b/MASCARA-5 b,7848,3.14,2.65022,0.047,AmC,Primary Transit,149.6,1.508
TOI-1442 b,8101,0.005,0.41,0.0071,,Primary Transit,41.2,0.1044
TOI-1444 b,7861,0.01218,0.4702694,,,Primary Transit,125.0,0.12463
TOI-1452 b,8371,0.01517,11.06201,0.061,M4,Primary Transit,30.5043,0.14917
TOI-1468 b,8376,0.0101,1.8805136,0.0208,M3.0V,Primary Transit,24.72,0.1142
TOI-1468 c,8377,0.02089,15.532482,0.0849,M3.0V,Primary Transit,24.72,0.18414
TOI-1478 b,7553,0.847,10.180249,0.0903,,Primary Transit,153.0,1.06
TOI-150 b,7036,2.51,5.857487,0.0643,F,Primary Transit,336.0,1.255
TOI-1516 b,8194,3.16,2.056014,,,Primary Transit,,1.36
TOI-1518 b,7970,2.3,1.902603,0.039,,Primary Transit,,1.875
TOI-157 b,7320,1.18,2.0845435,0.0318,G9IV,Primary Transit,362.1,1.286
TOI-1601 b,7554,0.99,5.331751,0.06864,,Primary Transit,336.0,1.239
TOI-163 b,7149,1.22,4.231306,0.058,F,Primary Transit,416.7,1.489
TOI-1634 b,7829,0.01545,0.989343,0.01545,M2,Primary Transit,35.274,0.1597
TOI-1669 b,8399,0.0132,2.68005,,G5,Primary Transit,111.75,0.214
TOI-1670 b,8140,0.0434,10.98462,0.103,,Primary Transit,165.72,0.1838
TOI-1670 c,8141,0.63,40.74976,0.249,,Primary Transit,165.72,0.987
TOI-1683 b,8337,0.025,1.05752578,0.036,,Primary Transit,,0.205
TOI-1685 b,7816,0.01189,0.6691403,,M3.0V,Primary Transit,37.609,0.152
TOI-169 b,7321,0.791,2.2554477,0.03524,G1V,Primary Transit,412.5,1.086
TOI-1693 b,8100,0.0088,1.7666957,0.0226,,Primary Transit,30.8,0.1258
TOI-1694 b,8400,0.0979,3.77015,,,Primary Transit,124.2,0.4853
TOI-1696 b,8138,0.1787,2.50031,0.0235,,Primary Transit,65.03,0.2891
TOI-1710 b,8172,0.089,24.283429,0.16,G5V,Primary Transit,81.1376,0.4764
TOI-172 b,7010,5.41,9.47721,0.0913,,Primary Transit,336.47,0.965
TOI-1728 b,7428,0.08426,3.49151,0.0391,,Primary Transit,60.8,0.4505
TOI-1749 b,8390,0.06,2.38839,0.0291,M0V,Primary Transit,99.56,0.124
TOI-1749 c,8391,0.0066,4.4929,0.0443,M0V,Primary Transit,99.56,0.1891
TOI-1749 d,8392,0.0135,9.0497,0.0707,M0V,Primary Transit,99.56,0.2248
TOI-1759 b,8115,0.0214,18.849975,0.1176,M0V,Primary Transit,40.12,0.273
TOI-178 b,6858,0.00472,1.914558,0.02607,,Primary Transit,63.0,0.10278
TOI-178 c,6859,0.01501,3.23845,0.037,,Primary Transit,63.0,0.1489
TOI-178 d,6860,0.00947,6.5577,0.0592,,Primary Transit,63.0,0.22946
TOI-178 e,7524,0.01214,9.961881,0.0783,,Primary Transit,63.0,0.1969
TOI-178 f,7525,0.02429,15.231915,0.1039,,Primary Transit,63.0,0.20403
TOI-178 g,7526,0.0124,20.7095,0.1275,,Primary Transit,63.0,0.256
TOI-1789 b,7902,0.7,3.208666,0.04873,,Primary Transit,223.55,1.4
TOI-179 b,8431,0.0758,4.1374386,0.0476,,Primary Transit,38.585,0.2436
TOI-1807 b,7926,0.00714,0.549229,0.0135,,Primary Transit,42.577,0.1222
TOI-1811 b,8204,0.974,3.7130818,0.04393,,Primary Transit,128.3,1.0
TOI-1820 b,8188,2.3,4.8607,0.069,,Primary Transit,250.0,1.12
TOI-1842 b,8023,0.214,9.5739,0.1,,Primary Transit,223.47,1.04
TOI-1860 b,8099,0.0069,1.062107,0.0204,G5V,Primary Transit,45.9,0.1169
TOI-1899 b,7433,0.66,29.02,0.1587,M0,Primary Transit,128.4,1.37
TOI-2000 b,8422,0.0324,3.098331,0.0426,,Primary Transit,173.6,0.2355
TOI-2000 c,8423,0.2382,9.1270553,0.0875,,Primary Transit,173.6,0.711
TOI-201 b,7819,0.42,52.97818,0.3,F6V,Primary Transit,114.2,1.0
TOI-2025 b,8189,4.4,8.872086,0.089,,Primary Transit,339.0,1.12
TOI-2046 b,8195,2.3,1.4971842,,F8V,Primary Transit,,1.44
TOI-206 b,8108,0.0069,0.7363104,0.0112,,Primary Transit,47.7,0.116
TOI-2081 b,8240,0.016,10.50534,0.0752,M1,Primary Transit,62.31,0.182
TOI-2109 b,8012,5.02,0.67247414,,F0,Primary Transit,264.0,1.347
TOI-2136 b,8134,0.0148,7.85191,0.054,,Primary Transit,33.36,0.1865
TOI-2145 b,8205,5.35,10.261081,0.1108,,Primary Transit,124.6,1.103
TOI-2152 b,8206,2.83,3.3773512,0.05064,,Primary Transit,302.8,1.281
TOI-2154 b,8207,0.92,3.6240801,0.0513,,Primary Transit,296.3,1.453
TOI-2158 b,8190,0.82,8.60077,0.074,,Primary Transit,200.0,0.96
TOI-216 b,7013,0.059,17.0968,0.1293,,Primary Transit,178.89,0.6861
TOI-216 c,7014,0.56,34.5516,0.2068,,Primary Transit,178.89,0.901
TOI-2180 b,8061,2.755,260.158,0.828,,Primary Transit,116.3,1.01
TOI-2184 b,7947,0.65,6.90683,,,Primary Transit,,1.017
TOI-2193 b,8217,0.94,2.1225735,0.03319,,Primary Transit,345.3,1.77
TOI-2196 b,8369,0.082,1.1947268,0.02234,,Primary Transit,263.98,0.3131
TOI-220 b,7853,0.0428,10.695264,0.0892,,Radial Velocity,89.0,0.2694
TOI-2202 b,7954,0.978,11.9101,0.09564,K8V,Primary Transit,235.93,1.0
TOI-2202 c,7955,0.369,24.6744,0.15544,K8V,TTV,235.93,
TOI-2207 b,8218,0.64,8.001968,0.0854,,Primary Transit,380.6,0.995
TOI-2236 b,8219,1.58,3.5315902,0.05,,Primary Transit,352.5,1.282
TOI-2257 b,8000,0.0179,35.189346,0.145,M3,Primary Transit,57.7911,0.19574
TOI-2260 b,8098,0.011,0.3524728,0.0097,,Primary Transit,101.3,0.1445
TOI-2285 b,7995,0.0614,27.26955,0.1363,,Primary Transit,42.409,0.1552
TOI-2337 b,8062,1.0,2.99432,,,Primary Transit,,0.9
TOI-237 b,7531,0.009,5.436098,0.0341,,Primary Transit,38.11,0.1285
TOI-2406 b,7941,0.0286,3.0766896,0.0228,M4V,Primary Transit,55.6,0.2623
TOI-2411 b,8096,0.0123,0.7826942,0.0144,K5V,Primary Transit,59.5,0.1499
TOI-2421 b,8220,0.333,4.474032,0.0543,,Primary Transit,327.3,0.924
TOI-2427 b,8095,0.0129,1.3060011,0.0202,K,Primary Transit,28.5,0.161
TOI-2445 b,8094,0.006,0.3711281,0.0064,M,Primary Transit,48.6,0.1115
TOI-2497 b,8208,5.21,10.655661,0.1167,,Primary Transit,285.1,1.0
TOI-251 b,7539,1.0,4.93777,0.05741,,Primary Transit,99.52,0.2444
TOI-2567 b,8221,0.2,5.983944,0.0672,,Primary Transit,518.4,0.975
TOI-257 b,7271,0.134,18.38827,0.1523,F8/G0V,Primary Transit,77.07,0.626
TOI-2669 b,8063,0.61,6.2034,,,Primary Transit,,1.76
TOI-269 b,7850,0.0277,3.6977104,0.0345,M2V,Primary Transit,57.023,0.2471
TOI-270 b,7048,0.006,3.36008,0.0306,M3.0V,Primary Transit,22.453,0.11125
TOI-270 c,7049,0.0208,5.660172,0.0472,M3.0V,Primary Transit,22.453,0.2159
TOI-270 d,7050,0.017,11.38014,0.0733,M3.0V,Primary Transit,22.453,0.19
TOI-3331 b,8222,2.27,2.0180231,0.03144,,Primary Transit,224.9,1.158
TOI-3362 b,7973,5.029,18.09547,0.153,G5,Primary Transit,370.85,1.142
TOI-3540 b,8223,1.18,3.119999,0.04289,,Primary Transit,282.4,2.1
TOI-3629 b,8092,0.26,3.936551,0.043,,Primary Transit,129.7,0.74
TOI-3693 b,8224,1.02,8.088516,0.081,,Primary Transit,176.8,1.124
TOI-3714 b,8091,0.7,2.154849,0.027,,Primary Transit,112.5,1.01
TOI-3757 b,8147,0.2684,3.438753,0.03845,,Primary Transit,177.4,1.07
TOI-402 b,7046,0.0227,4.75642,0.05245,,Primary Transit,44.86,0.1516
TOI-402 c,7047,0.02766,17.1784,0.1235,,Primary Transit,44.86,0.225
TOI-4137 b,8225,1.01,3.8016122,0.05222,,Primary Transit,345.9,1.211
TOI-4138 b,7983,0.67,3.660028,0.051,,Primary Transit,507.0,1.49
TOI-421 b,7388,0.05107,16.06815,0.1182,,Primary Transit,,0.4612
TOI-421 c,7389,0.02218,5.19676,0.0557,,Primary Transit,,0.2427
TOI-431 b,7948,0.00966,0.490047,0.0113,,Primary Transit,32.61,0.1142
TOI-431 c,7949,2.84,4.8494,0.052,,Radial Velocity,32.61,
TOI-431 d,7950,0.0311,12.46103,0.098,,Primary Transit,32.61,0.2935
TOI-4329 b,8064,0.45,2.9233,,,Primary Transit,,1.5
TOI-4479 b,8239,0.0261,1.1589,0.0164,M3,Primary Transit,80.6,0.2516
TOI-4562 b,8378,3.29,225.11757,0.771,F7V,Primary Transit,346.9,1.072
TOI-481 b,7493,1.53,10.33111,0.097,,Primary Transit,,0.99
TOI-500 b,8107,0.005,0.5481579,0.0128,,Primary Transit,47.4,0.1035
TOI-5153 b,8254,3.26,20.33003,0.158,F8V,Primary Transit,390.1,1.06
TOI-5205 b,8414,1.08,1.630757,0.0199,M4.0,Primary Transit,86.865,1.035
TOI-530 b,7984,0.4,6.387597,0.052,,Primary Transit,147.7,0.83
TOI-532 b,7939,0.1935,2.32666508,0.0296,,Primary Transit,134.61,0.5192
TOI-544 b,8104,0.016,1.548351,0.0251,,Primary Transit,41.1,0.1811
TOI-5542 b,8424,1.32,75.12375,0.332,,Primary Transit,353.7,1.009
TOI-558 b,7799,3.61,14.574071,0.1291,,Primary Transit,401.0,1.086
TOI-559 b,7800,6.01,6.9839095,0.0723,,Primary Transit,233.2,1.091
TOI-561 b,7486,0.00705,0.4465688,0.0106,,Primary Transit,86.01,0.1222
TOI-561 c,7487,0.0208,10.778831,0.089,,Primary Transit,86.01,0.2596
TOI-561 d,7529,0.03823,25.7124,0.159,,Primary Transit,86.01,0.2516
TOI-561 e,7530,0.0428,77.03,0.33,,Primary Transit,86.01,0.2275
TOI-564 b,7255,1.463,1.651144,0.02734,,Primary Transit,200.7,1.02
TOI-620 b,8158,0.0485,5.0988179,0.04825,M2.5V,Primary Transit,33.022,0.3354
TOI-628 b,7550,6.33,3.4095675,0.0486,,Primary Transit,178.5,1.06
TOI-640 b,7551,0.88,5.0037775,0.06608,,Primary Transit,341.9,1.771
TOI-674 b,7891,0.0739,1.977143,0.0231,,Primary Transit,46.16,0.4693
TOI-677 b,7211,1.236,11.2366,0.1038,,Primary Transit,143.0,1.179
TOI-700 b,7257,0.00406,9.97701,0.0637,M2V,Primary Transit,31.127,0.0901
TOI-700 c,7258,0.0249,16.051998,0.0925,M2V,Primary Transit,31.127,0.2346
TOI-700 d,7259,0.00711,37.426,0.163,M2V,Primary Transit,31.127,0.1062
TOI-712 b,8002,0.0176,9.531361,0.07928,,Primary Transit,58.62,0.1828
TOI-712 c,8003,0.0274,51.69906,0.2447,,Primary Transit,58.62,0.241
TOI-712 d,8004,0.0236,84.8396,0.3405,,Primary Transit,58.62,0.22072
TOI-763 b,7473,0.0308,5.6057,0.06,,Primary Transit,95.39,0.2034
TOI-763 c,7474,0.02932,12.2737,0.1,,Primary Transit,95.39,0.2346
TOI-776 b,7491,0.01466,8.24664,0.0652,M1V,Primary Transit,27.19,0.1633
TOI-776 c,7492,0.0192,15.6653,0.1,M1V,Primary Transit,27.19,0.1838
TOI-824 b,7485,0.058104,1.392978,0.02177,K4V,Primary Transit,63.71,0.26104
TOI-833 b,8106,0.006,1.04318777,0.0171,M0V,Primary Transit,41.7,0.1133
TOI-836 b,8373,0.01425,3.81673,0.0422,,Primary Transit,27.504,0.15202
TOI-836 c,8374,0.0302,8.59545,0.075,,Primary Transit,27.504,0.2308
TOI-849 b,7332,0.12299,0.76552414,0.01598,G,Primary Transit,225.2,0.30726
TOI-892 b,7494,0.95,10.62656,0.092,,Primary Transit,,1.07
TOI-905 b,7256,0.667,3.739494,0.04666,,Primary Transit,159.4,1.171
TOI-942 b,7537,2.599,4.32419,0.04796,,Primary Transit,153.2732,0.4291
TOI-942 c,7538,2.501,10.15643,0.0847,,Primary Transit,153.2732,0.5166
TOI-954 b,7528,0.174,3.6849729,0.04963,,Primary Transit,235.7,0.852
TOI-969 b,8453,0.0286,1.8237305,0.02636,K,Primary Transit,77.83,0.24668
TRAPPIST-1 b,2630,0.0027,1.51087081,0.01111,M8,Primary Transit,12.1,0.09689
TRAPPIST-1 c,2631,0.00434,2.4218233,0.01521,M8,Primary Transit,12.1,0.09421
TRAPPIST-1 d,2632,0.0013,4.04961,0.02144,M8,Primary Transit,12.1,0.0689
TRAPPIST-1 e,6526,0.002,6.099615,0.02817,M8,Primary Transit,12.1,0.0819
TRAPPIST-1 f,6527,0.0021,9.20669,0.0371,M8,Primary Transit,12.1,0.09323
TRAPPIST-1 g,6528,0.00422,12.35294,0.0451,M8,Primary Transit,12.1,0.1005
TRAPPIST-1 h,6529,0.001041,20.0,0.063,M8,Primary Transit,12.1,0.0674
TVLM 513-46546 b,7453,0.38,220.0,0.3,M8.5V,Astrometry,10.706,
TYC 8998-760-1 b,7303,14.0,,162.0,K3IV,Imaging,94.6,3.0
TYC 8998-760-1 c,7447,6.0,,320.0,K3IV,Imaging,94.6,
TrES-1 b,246,0.761,3.0300722,0.0393,K0V,Primary Transit,157.0,1.099
TrES-2 A b,344,1.253,2.4706133738,0.03555,G0V,Primary Transit,220.0,1.189
TrES-3 b,406,1.91,1.30618608,0.0226,G,Primary Transit,,1.305
TrES-4 b,414,0.917,3.5539268,0.05084,F,Primary Transit,479.0,1.706
TrES-5 b,910,1.778,1.4822446,0.02446,,Primary Transit,360.0,1.209
UKIRT-2017-BLG-001 b,6732,1.28,,4.18,,Microlensing,6300.0,
ULAS1335,6815,12.5,,,,Imaging,,
ULASJ0034,6814,12.5,,,,Imaging,,
USco 1556A b,7236,14.0,,3500.0,M3.0,Imaging,141.0,
USco J155150.2-213457,7072,8.0,,,,Imaging,,
WASP-57 b,923,0.8,2.8,,G6,Primary Transit,,1.1
UScoCTIO 108 b,435,14.0,,670.0,M7,Imaging,145.0,
UZ For (AB) b,820,6.3,5800.0,5.9,Catac. var.,Other,,
UZ For (AB) c,861,7.7,1900.0,2.8,Catac. var.,Pulsar,,
V 1298 Tau b,7029,2.2,24.1382,0.1688,K0-K1.5,Primary Transit,108.5,0.8217
V391 Peg b,374,3.2,1170.0,1.7,sdB,Pulsar,1400.0,
WASP-1 b,346,0.947,2.5199448,0.03958,F7V,Primary Transit,,1.514
WASP-10 b,464,3.16,3.0927616,0.0371,K5,Primary Transit,90.0,1.08
